built S_1 mod x^112501 in 0s
n=85 wrong_sign=0 [] zeros=173 max_zero_m=434 mu_of_it=6.01e-03 (0.0s, total 1s)
n=86 wrong_sign=0 [] zeros=175 max_zero_m=439 mu_of_it=5.94e-03 (0.0s, total 1s)
n=87 wrong_sign=0 [] zeros=177 max_zero_m=444 mu_of_it=5.87e-03 (0.0s, total 1s)
n=88 wrong_sign=0 [] zeros=179 max_zero_m=449 mu_of_it=5.80e-03 (0.0s, total 1s)
n=89 wrong_sign=0 [] zeros=181 max_zero_m=454 mu_of_it=5.73e-03 (0.0s, total 1s)
n=90 wrong_sign=0 [] zeros=183 max_zero_m=459 mu_of_it=5.67e-03 (0.0s, total 1s)
n=91 wrong_sign=0 [] zeros=185 max_zero_m=464 mu_of_it=5.60e-03 (0.0s, total 1s)
n=92 wrong_sign=0 [] zeros=187 max_zero_m=469 mu_of_it=5.54e-03 (0.0s, total 1s)
n=93 wrong_sign=0 [] zeros=189 max_zero_m=474 mu_of_it=5.48e-03 (0.0s, total 1s)
n=94 wrong_sign=0 [] zeros=191 max_zero_m=479 mu_of_it=5.42e-03 (0.0s, total 1s)
n=95 wrong_sign=0 [] zeros=193 max_zero_m=484 mu_of_it=5.36e-03 (0.0s, total 1s)
n=96 wrong_sign=0 [] zeros=195 max_zero_m=489 mu_of_it=5.31e-03 (0.0s, total 1s)
n=97 wrong_sign=0 [] zeros=197 max_zero_m=494 mu_of_it=5.25e-03 (0.0s, total 1s)
n=98 wrong_sign=0 [] zeros=199 max_zero_m=499 mu_of_it=5.20e-03 (0.0s, total 1s)
n=99 wrong_sign=0 [] zeros=201 max_zero_m=504 mu_of_it=5.14e-03 (0.0s, total 1s)
n=100 wrong_sign=0 [] zeros=203 max_zero_m=509 mu_of_it=5.09e-03 (0.0s, total 1s)
n=101 wrong_sign=0 [] zeros=205 max_zero_m=514 mu_of_it=5.04e-03 (0.0s, total 2s)
n=102 wrong_sign=0 [] zeros=207 max_zero_m=519 mu_of_it=4.99e-03 (0.0s, total 2s)
n=103 wrong_sign=0 [] zeros=209 max_zero_m=524 mu_of_it=4.94e-03 (0.0s, total 2s)
n=104 wrong_sign=0 [] zeros=211 max_zero_m=529 mu_of_it=4.89e-03 (0.0s, total 2s)
n=105 wrong_sign=0 [] zeros=213 max_zero_m=534 mu_of_it=4.84e-03 (0.0s, total 2s)
n=106 wrong_sign=0 [] zeros=215 max_zero_m=539 mu_of_it=4.80e-03 (0.0s, total 2s)
n=107 wrong_sign=0 [] zeros=217 max_zero_m=544 mu_of_it=4.75e-03 (0.0s, total 2s)
n=108 wrong_sign=0 [] zeros=219 max_zero_m=549 mu_of_it=4.71e-03 (0.0s, total 2s)
